"condName","belief_avg","WEPT_max","policy_avg","MacArthur_SES","Share","country","Gender","Age","Education.2","Politics2_1","Politics2_9","Income"
"Letter2Future",96.5,0,88.7777777777778,3,2,"canada",1,64,3,31,21,4
"DynamicNorm",94.75,8,79,4,1,"canada",1,40,4,7,49,4
"PluralIgnorance",8.5,8,15.6666666666667,2,0,"canada",2,69,3,NA,NA,4
"SciConsens",54.25,0,51.2222222222222,5,1,"canada",1,35,2,70,53,4
"DynamicNorm",95,3,47.6666666666667,8,1,"canada",1,42,3,42,61,5
"PluralIgnorance",74.25,8,73.3333333333333,3,2,"canada",2,70,2,77,77,4
"NegativeEmotions",0.25,8,19.5555555555556,7,0,"canada",1,48,3,77,77,6
"NegativeEmotions",75.75,1,44.4444444444444,3,1,"canada",1,32,3,30,31,7
"NegativeEmotions",100,8,67.8888888888889,6,1,"canada",2,29,3,51,50,6
"Letter2Future",98,0,98.1111111111111,5,2,"canada",1,49,3,24,17,4
"SystemJust",92.25,2,72.7777777777778,3,0,"canada",1,25,2,9,51,1
"Identity-Social-Norms-Intervention",100,0,100,5,2,"canada",1,53,2,3,4,4
"CollectAction",48.75,0,51.4444444444444,4,0,"canada",2,42,2,46,47,1
"Control",70.5,1,60.3333333333333,6,1,"canada",1,22,4,55,56,4
"PsychDistance",98.5,2,2.44444444444444,7,1,"canada",1,21,3,49,50,5
"DynamicNorm",73.75,3,61.8888888888889,6,2,"canada",1,47,3,52,61,6
"FutureSelfCont",100,8,87.7777777777778,7,2,"canada",2,48,3,23,38,4
"FutureSelfCont",92.5,8,87.8888888888889,5,1,"canada",2,39,3,7,5,4
"Identity-Social-Norms-Intervention",95.25,1,59.5555555555556,6,0,"canada",2,25,3,86,72,6
"SciConsens",71.5,8,79.6666666666667,7,1,"canada",1,47,4,4,58,5
"NegativeEmotions",3.75,0,1,7,2,"canada",1,49,3,100,100,5
"CollectAction",51.5,8,60,5,0,"canada",1,27,3,44,58,5
"Control",8.5,8,22.2222222222222,2,0,"canada",1,28,3,53,56,4
"Letter2Future",100,1,88.2222222222222,8,1,"canada",1,25,4,27,45,6
"SystemJust",86.25,0,57.1111111111111,7,2,"canada",2,23,3,54,59,6
"DynamicNorm",100,8,93.3333333333333,7,2,"canada",1,35,3,10,17,5
"Control",100,8,74.4444444444444,4,1,"canada",2,22,2,52,57,5
"PsychDistance",100,0,72,8,1,"canada",1,23,2,100,3,5
"PsychDistance",94,8,85.5555555555556,7,2,"canada",1,52,3,9,10,5
"Identity-Social-Norms-Intervention",100,2,72.5555555555556,5,1,"canada",1,31,3,84,82,5
"FutureSelfCont",91.5,0,84.6666666666667,4,1,"canada",2,21,3,57,57,2
"NegativeEmotions",57,0,61.1111111111111,6,1,"canada",1,27,2,52,51,5
"SciConsens",83.25,1,91.8888888888889,4,0,"canada",2,31,3,24,29,5
"Identity-Social-Norms-Intervention",96,0,88.1111111111111,3,0,"canada",1,31,3,2,2,3
"SystemJust",100,0,68.3333333333333,4,0,"canada",1,23,3,49,49,4
"PluralIgnorance",100,8,97.6666666666667,7,2,"canada",2,47,3,26,40,5
"DynamicNorm",57.5,2,41.6666666666667,8,2,"canada",1,31,3,51,51,6
"Control",85,8,74.8888888888889,6,2,"canada",1,22,2,30,37,6
"NegativeEmotions",100,8,67.2222222222222,5,1,"canada",1,38,3,17,20,5
"PluralIgnorance",100,0,100,5,0,"canada",1,33,3,5,5,5
"Control",31.25,0,43.8888888888889,6,2,"canada",2,56,2,61,71,6
"PsychDistance",59.25,1,55.7777777777778,7,1,"canada",1,23,2,55,52,5
"CollectAction",100,8,65.6666666666667,6,0,"canada",1,45,2,44,43,2
"FutureSelfCont",100,5,83.1111111111111,5,2,"canada",2,34,2,48,46,5
"SystemJust",0,0,8.33333333333333,2,2,"canada",1,45,3,100,100,1
"BindingMoral",100,8,84.7777777777778,6,0,"canada",2,29,3,2,20,6
"NegativeEmotions",100,8,88.6666666666667,8,2,"canada",1,43,4,20,60,5
"Identity-Social-Norms-Intervention",29.75,8,9,5,0,"canada",2,65,3,82,62,5
"CollectAction",52.75,2,46.6666666666667,6,2,"canada",2,57,3,55,53,5
"Letter2Future",100,0,58.8888888888889,3,2,"canada",1,35,3,36,51,4
"FutureSelfCont",100,8,92,7,2,"canada",1,48,2,0,8,5
"Control",100,8,92.2222222222222,3,0,"canada",1,32,2,0,0,1
"DynamicNorm",100,8,94,7,0,"canada",2,70,2,11,17,5
"SystemJust",100,0,54.1111111111111,5,2,"canada",1,33,3,53,53,5
"Control",100,7,97.7777777777778,3,0,"canada",1,32,2,21,21,1
"BindingMoral",34.25,2,48.3333333333333,1,0,"canada",2,40,2,49,47,2
"PsychDistance",37.25,8,44.3333333333333,4,2,"canada",1,68,2,79,80,4
"PluralIgnorance",100,8,71.1111111111111,2,0,"canada",2,29,5,10,0,9
"CollectAction",96.5,1,76.2222222222222,2,2,"canada",2,43,3,50,46,9
"DynamicNorm",76.5,7,66.6666666666667,7,1,"canada",1,38,3,10,81,6
"NegativeEmotions",90.75,8,85.2222222222222,6,1,"canada",2,29,3,32,82,5
"PluralIgnorance",90.75,1,62.5555555555556,6,0,"canada",1,40,3,40,41,5
"SystemJust",100,8,46.6666666666667,4,1,"canada",2,18,2,49,49,6
"Control",87.75,8,71.6666666666667,6,1,"canada",1,72,3,50,38,5
"Letter2Future",100,8,86.7777777777778,6,1,"canada",1,22,4,NA,NA,6
"NegativeEmotions",100,1,91.2222222222222,6,0,"canada",1,31,3,11,31,5
"CollectAction",83.5,0,67,6,1,"canada",1,34,3,13,31,5
"SystemJust",87,8,49.7777777777778,6,2,"canada",1,67,4,51,50,4
"FutureSelfCont",81.5,8,63.6666666666667,6,2,"canada",2,35,3,24,20,6
"NegativeEmotions",94.5,1,74.7777777777778,7,0,"canada",1,24,3,100,100,6
"PsychDistance",100,8,88.3333333333333,3,0,"canada",1,52,3,51,51,5
"PsychDistance",89.75,0,76.5555555555556,4,2,"canada",1,67,3,50,60,4
"Identity-Social-Norms-Intervention",3,1,16.4444444444444,5,2,"canada",1,58,2,78,78,4
"CollectAction",99.5,0,100,9,0,"canada",1,30,3,100,100,8
"BindingMoral",88.25,2,66.7777777777778,5,2,"canada",1,40,3,51,52,6
"PluralIgnorance",11.5,8,28.6666666666667,3,2,"canada",1,34,2,NA,NA,5
"PsychDistance",93.75,2,72.1111111111111,7,1,"canada",2,24,3,100,96,4
"BindingMoral",97.25,0,81.1111111111111,8,2,"canada",2,51,3,18,92,8
"FutureSelfCont",100,1,99.1111111111111,5,1,"canada",1,23,4,90,92,5
"SystemJust",100,8,98.3333333333333,3,0,"canada",2,40,3,28,3,6
"PluralIgnorance",100,3,66.1111111111111,7,2,"canada",2,30,3,84,76,6
"PluralIgnorance",67.25,1,62.2222222222222,5,1,"canada",1,35,2,74,69,5
"Letter2Future",89.25,1,69.8888888888889,8,1,"canada",2,22,3,39,49,6
"CollectAction",81,8,71.1111111111111,4,0,"canada",1,25,3,59,59,6
